MAHALLE_KOY_NO,MAHALLE_KOY_ADI
867,AﬁA–ISARHAN
868,C›R›TMEYDANI
869,«AT
870,KORUPINAR
871,PINARBAﬁI
872,YEN› BESN›
873,YUKARISARHAN
874,DUMLUPINAR
875,HASAN T‹T‹N
876,ERDEMO–LU
877,OYALI
878,K÷PR‹BAﬁI
879,YEﬁ›LOVA
880,BOYBEYPINARI
881,LEVZ›N
882,ABIMISTIK
883,›NCEKOZ
884,«AKMAK
885,FAT›H
886,ATAT‹RK
887,TURGUT ÷ZAL
888,›N÷N‹
889,AﬁA–I S÷–‹TL‹
890,CUMHUR›YET
891,H‹RR›YET
892,TET›RL›
893,ADALET
894,CUMHUR›YET
895,H‹RR›YET
896,BAYAT
897,CUMHUR›YET
898,YEN›
899,FAT›H
900,MENDERES
901,›N÷N‹
902,BAH«EL›EVLER
903,CUMHUR›YET
904,FAT›H
905,M.NED›M ÷KMEN 
906,MERKEZ
907,YUNUS EMRE
908,ZAFER
909,BAﬁPINAR
910,CAM›
911,CAM›
912,KURUDERE
913,BALIKBURNU
914,HACILAR
915,AKTAﬁ
916,«AMLIYAYLA
917,›N÷N‹
918,KAYA
919,YEN›
920,MERKEZ
921,KELEﬁAN
922,FAT›H
923,ASFALT
924,CUMHUR›YET
925,MERKEZ
926,CUMHUR›YET
927,ASFALT
928,CUMHUR›YET
929,YEN›MAHALLE
930,FAT›H
931,H‹RR›YET
932,KURUGE«›T
933,M›MAR S›NAN
934,YAVUZ SEL›M
935,YEN›KENT
936,06.02.2025
937,YEN›MAHALLE
938,«AKMAK
939,KALEMKAﬁ
940,CUMHUR›YET
941,ATAT‹RK
942,«AMLICA
943,KILAVUZ
944,SO–UKSU
945,ATAT‹RK
946,CUMHUR›YET
947,FAT›H
948,KANG÷L‹
949,ATAT‹RK
950,BA–LAR
951,CAM›
952,CUMHUR›YET
953,«OBANLI
954,BAYRAKTAR
955,FIRAT
956,FAT›H
957,H‹RR›YET
958,GAZ›
959,G›RNE
960,MENDERES
961,ﬁEYHBABA
962,KARﬁIYAKA
963,TURGUT ÷ZAL
964,YEN›
965,YAVUZ SEL›M
966,GAZ›
967,MUSTAFA Y‹CEL ÷ZB›LG›N
968,YAKACIK
969,ESENCE
970,YEﬁ›LYURT
971,BAH«EL›EVLER
972,SER›NTEPE
973,HASANKAN
974,CUMHUR›YET
975,H‹RR›YET
976,MERKEZ
977,KARA«ALI
978,«›MENKE
979,Z›VAR
980,«ATDERES›
981,›NCEKOZ
982,÷RENTAﬁ
983,YAVUZ SEL›M
984,KALE
985,BARAJ
986,TUNA
987,«INAR
988,«UKAN
989,TAﬁLICA
990,KARADA–
991,÷ZB›LG›N
992,FIRAT
993,CUMHUR›YET
994,AYENG›N
995,ONUR
996,FAT›H
997,ZEYNEL ASLAN
998,KARAMAN
999,MERKEZ
1000,MAHMUTO–LU
1001,CUMHUR›YET
1002,AYN›YE
1003,BULANIK
1004,FETH›YE
1005,REﬁAD›YE
1006,SALAH
1007,«AMLICA
1008,AL› «ET›NKAYA
1009,AL››HSANPAﬁA
1010,AKMESC›T
1011,BURMALI
1012,DA›RECEP
1013,DERV›ﬁPAﬁA
1014,DUMLUPINAR
1015,FAKIPAﬁA
1016,G‹VENEVLER
1017,HAM›D›YE
1018,KAYAD›B›
1019,MARULCU
1020,MEC›D›YE
1021,BATTALGAZ›
1022,OLUCAK
1023,÷RNEKEVLER
1024,BEYAZIT
1025,S‹MER
1026,TAC›AHMET
1027,TAﬁPINAR
1028,ERTU–RULGAZ›
1029,YARENLER
1030,ZAFER
1031,EﬁREFPAﬁA
1032,CUMHUR›YET
1033,ESENTEPE
1034,HASANKARAA–A«
1035,HATTATKARAH›SAR
1036,›ST›KLAL
1037,KASIMPAﬁA
1038,NAZM› SAATC›
1039,SAH›PATA
1040,FAT›H
1041,GAZ›
1042,HOCAAHMETYESEV›
1043,KANLICA
1044,KARﬁIYAKA
1045,KOCATEPE
1046,MAREﬁAL FEVZ› «AKMAK
1047,ORHANGAZ›
1048,OSMANGAZ›
1049,SEL«UKLU
1050,VEYSELKARAN›
1051,YEN›CE
1052,YEﬁ›LYURT
1053,YUNUS EMRE
1054,AK«›N
1055,ATAK÷Y
1056,BAYATCIK
1057,«AKIR
1058,DEM›R«EVRE
1059,ERENLER
1060,›SMA›L
1061,KIﬁLACIK
1062,SADIKBEY
1063,D÷RTYOL
1064,KARAMAN
1065,M›MAR S›NAN
1066,BARBAROS
1067,«A–LAYAN
1068,FAT›H
1069,G‹L›STAN
1070,AﬁA–IH›LAL
1071,YEN›MAHALLE
1072,YUKARIH›LAL
1073,B‹Y‹K
1074,YEN›
1075,CUMHUR›YET
1076,H‹RR›YET
1077,AK«EﬁME
1078,ALACA
1079,C›R›T
1080,EMRULLAH
1081,ERKMEN
1082,G÷LBAﬁI
1083,HACI HAL›FE
1084,HACI ÷MER
1085,›MARET
1086,KAYMAZ
1087,LALAS›NANPAﬁA
1088,ﬁIHLAR
1089,YAKUP ﬁEVK›PAﬁA
1090,YEN›
1091,YEN›CE
1092,M‹SL‹MANA
1093,KONAK
1094,BADEML›
1095,BA–LARBAﬁI
